sentence1;sentence2;accuracy;fluency;diversity
Eksperimentirajo tudi z materiali, saj menijo, da zgolj oblika brez resničnega vsebinskega bogastva ne izpolnjuje njihovih zahtevnih meril za končni izdelek.;Eksperimentirata tudi z materiali, saj menita, da zgolj oblika brez resničnega vsebinskega bogastva ne izpolnjuje njunih zahtevnih meril za končni izdelek.;3;4;2
Japonski številski sistem je sistem številskih imen, ki se uporablja v japonskem jeziku.;Sistem japonskih številk je sistem imen števil, ki se ga uporablja v japonskem jeziku.;4;3;3
Njeni starši so se ločili kmalu po njenem rojstvu.;Starša sta se kmalu po njenem rojstvu ločila.;4;3;4
IMI omogoča javnim organom na nacionalni, regionalni in lokalni ravni, da poiščejo in izmenjajo informacije s svojimi kolegi v drugih državah.;IMI omogoča javnim organom na državni, regionalni in lokalni ravni, da poiščejo sorodne organe v drugih državah in z njimi izmenjajo informacije.;4;5;3
Pogodba tudi določa, da se lahko Evropski parlament posvetuje z Odborom.;Pogodba Evropskemu parlamentu omogoča tudi posvetovanje z Odborom.;4;3;3
Ker je stolp veljal za nepremagljivo trdnjavo na strateško zelo pomembnem mestu, je bil zelo dragocena lastnina.;Ker je stolp veljal za nepremagljivo trdnjavo na strateško zelo pomembni lokaciji, je bil zelo dragocena lastnina.;3;3;2
Drugi ukrepi vključujejo boljši dostop do sanitarij, kot sta uporaba funkcionalnih in čistih stranišč ter dostop do čiste vode.;Drugi ukrepi vključujejo izboljšan dostop do sanitarij, recimo uporaba funkcionalnih in čistih stranišč ter dostop do čiste vode.;3;4;2
Po smrti prve žene leta 1742se je poročil s Španko Anastasio Maxarti Ximenes.;Po smrti svoje prve žene leta 1742 se je poročil z Anastazijo Maxarti Ximenes iz Španije.;5;2;2
Brehmovo predstavitveno pismo Josephu Nattererju mu je zagotovilo službo v Prirodoslovnem muzeju.;Predstavitveno pismo, ki ga je Brehm poslal Josephu Nattererju, mu je zagotovilo delovno mesto v naravoslovnem muzeju.;5;4;4
Hubblov vesoljski teleskop zaradi varnostnih postopkov, ki mu preprečujejo, da bi se usmeril preblizu Soncu, Merkurja sploh ne more opazovati.;Vesoljski teleskop Hubble Merkurja sploh ne more opazovati zaradi varnostnih ukrepov, ki mu preprečujejo, da bi se preveč približal Soncu.;4;5;3
Aprila 175 se je guverner Sirije Avidij Kasij po širjenju govoric, da je Mark Avrelij umrl, razglasil za rimskega cesarja.;Aprila 175 se je Avidij Kasij, guverner Sirije, razglasil za rimskega cesarja, potem ko so se razširile govorice, da je umrl Mark Avrelij.;4;5;4
Zveza NATO je uvedla sarin kot standardno kemično orožje, tako Sovjetska zveza kot Združene države Amerike so proizvajale sarin za vojaške namene.;Nato je uvedel sarin kot standardno kemično orožje, Sovjetska zveza in Združene države pa so sarin proizvajale v vojaške namene.;3;4;4
Zdravljenje v tej fazi le omejuje napredovanje bolezni, vendar ima omejen učinek na že nastale poškodbe.;Zdravljenje na tej stopnji zgolj omeji napredovanje bolezni, vendar ima omejen vpliv na okvare, do katerih je že prišlo.;3;4;5
"Inštitut je razdeljen na štiri šole: zgodovinske študije, matematiko, naravoslovje in družboslovje; ima tudi program teoretične biologije.";"Inštitut je razdeljen na štiri šole: zgodovinske študije, matematiko, naravoslovne ter družboslovne vede; ima tudi program s področja teoretične biologije.";3;3;2
Po vseh razpoložljivih virih je umrl v 59. letu starosti.;Glede na vse razpoložljive vire je umrl v 59. letu vladanja.;5;4;4
Odrasli osebki lahko brez hrane preživijo do enega leta.;Brez hrane lahko odrasel osebek preživi tudi eno leto.;5;5;3
DJ Magazine je mesečna britanska revija, posvečena elektronski plesni glasbi in DJ-em.;DJ Magazine je britanska mesečna revija, posvečena elektronski plesni glasbi in didžejem.;4;4;4
Pljučni tumorji so običajno vidni na rentgenskem posnetku prsnega koša, vendar je za potrditev diagnoze pogosto potrebna računalniška tomografija prsnega koša.;Pljučne mase so običajno vidne na rentgenskem posnetku prsnega koša, vendar je za potrditev diagnoze pogosto potrebna računalniška tomografija prsnega koša.;4;4;1
Hitler je odobril uporabo španskih prostovoljcev.;Hitler je dovolil uporabo španskih prostovoljcev.;5;5;1
Sicer pa sta tudi letos v seriji znamenitih osebnosti izšli dve znamki, posvečeni stotima obletnicama rojstva Edvarda Kocbeka in Srečka Kosovela, izid znamke v počastitev slednjega je morala primorska javnost dobesedno izsiliti.;Letos sta bili v seriji znanih osebnosti izdani tudi dve znamki ob stoletnici rojstva Edvarda Kocbeka in Srečka Kosovela, čeprav je morala javnost obalne regije izdajo znamke v spomin na slednjega dobesedno izsiliti.;5;4;4
Enkrat na teden se meso peče na žaru.;Meso se peče na žaru enkrat na teden.;5;5;5
Prisluhne lahko sporočilom med Alice in Bobom, vendar jih ne more spremeniti.;Prisluhne lahko sporočilom med Alice in Bobom, vendar jih ne more spreminjati.;4;4;2
Očitkarja, ki sta si imela o svojih lovcih v glavi nekaj čudnih misli, sta si imela veliko za povedati.;Obrekovalca, ki sta si imela v glavi čudne misli o svojih lovcih, sta si imela veliko za povedati.;4;4;2
Država je bila na robu bankrota.;Država je bila tik pred bankrotom.;5;4;2
Navdušeni boste nad svojimi idejami, zato vas čaka veliko dela.;Nad vašimi idejami bodo navdušeni, zato je pred vami veliko dela.;4;3;2
Vesoljski teleskop Hubble Merkurja sploh ne more opazovati zaradi varnostnih ukrepov, ki mu preprečujejo, da bi se preveč približal Soncu.;Vesoljski teleskop Hubble Merkurja sploh ne more opazovati zaradi varnostnih postopkov, ki preprečujejo, da bi se usmeril preblizu Sonca.;3;3;2
Imam le sedemnajst let, res je, da imam že 13 let delovne dobe na tem področju, vendar zapojem le tisto, kar mi leži, in skladbe, ki so primerne mojim glasovnim sposobnostim!;Stara sem šele 17 let in res je, da imam na tem področju že 13 let izkušenj, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!;5;4;5
Prvo izmed obeh vesoljskih plovil, ki je obiskalo planet, je bilo Mariner 10, ki je v letih 1974 in 1975 kartiral od 40 % do 45 % površja.;Prva od dveh vesoljskih sond, ki sta obiskali planet, je bila Mariner 10, ki je v letih 1974 in 1975 posnela od 40 do 45 % površja planeta.;4;3;4
"Če ste mu všeč, če čuti tako kot vi, potem lahko te ""prijateljice"" trepljajo s trepalnicami, lahko napišejo trideset romanov o tem, kako vama ni usojeno biti skupaj, lahko pišejo Združenim narodom, da so zanj primernejše, pa ga to niti malo ne bo motilo.";Če si mu všeč, če čuti tako, kot se tebi zdi, potem se lahko tiste »prijateljice« postavijo na trepalnice, lahko napišejo trideset romanov o tem, kako vidva nista za skupaj, lahko pišejo v Združene narode, da so one bolj primerne zanj, ga to ne bo prav nič motilo.;5;4;4
Pravi, da je žalostno, če sta tvoji najboljši prijateljici dosti bolj suhi od tebe, tragično pa je, če je bolj suha tudi tvoja mačeha.;Pravi, da je žalostno, če so tvoji najboljši prijatelji veliko bolj vitki od tebe, a tragično, če je tudi tvoja mačeha bolj vitka.;4;3;3
Kot športnica, skakalka v višino s palico, skrbi, da je raznoliko hrano.;Kot skakalka s palico poskrbi za raznoliko hrano.;5;2;3
Simptomi se običajno izboljšajo v dveh dneh, lahko pa trajajo do sedem dni.;Simptomi običajno izzvenijo v dveh dneh, lahko pa trajajo tudi do sedem dni.;4;4;2
Celovit nabor opazljivih lastnosti, ki tvorijo zgradbo in vedenje organizma, se imenuje fenotip.;Skupek opaznih značilnosti, ki sestavljajo strukturo in vedenje organizma, se imenuje fenotip.;3;4;4
Ne le, da kaki krepi imunski sistem, odličen je tudi za razstrupljanje organizma, poživitev, zniževanje visoke temperature, prav tako pa pomaga tudi pri prebavi in koristno vpliva na ledvica, jetra, oči, kožo, lase, dlesni, zobe in kosti.;Kaki ne le krepi imunski sistem, ampak je odličen tudi za razstrupljanje telesa, revitalizacijo, zniževanje povišane telesne temperature, pomoč pri prebavi ter blagodejno vpliva na ledvice, jetra, oči, kožo, lase, dlesni, zobe in kosti.;4;5;4
V stiku z ognjem litijeve spojine oddajajo intenzivno, karminsko rdečo barvo, ko pa močno zagori, postane plamen bleščeče srebrn.;Litijeve spojine imajo ob stiku z ognjem intenzivno škrlatno barvo, ko pa močno gorijo, se plamen obarva srebrno.;5;5;5
Bal sem se, da je predsednik redkobeseden in da bom moral pripraviti vsaj sto vprašanj, če bom hotel končati prvo uro najinega pogovora.;Bal sem se, da je predsednik redkobeseden in da si moram vnaprej pripraviti vsaj sto vprašanj, če želim končati prvo uro najinega pogovora.;3;4;4
To je podpiral Andrew Carnegie, ki je izrecno za orkester zgradil dvorano Carnegie Hall (odprli so jo leta 1891).;To je podprl Andrew Carnegie, ki je posebej za orkester zgradil dvorano Carnegie Hall (odprta je bila leta 1891).;4;4;2
Večina organizmov kot genetski material uporablja DNK, številni virusi pa RNK.;Večina organizmov za genski material uporablja DNK, številni virusi pa RNK.;3;4;2
Od takrat je Akureyri rasel zaradi odličnih pristaniških razmer in morda še bolj zaradi rodovitne pokrajine v okolici mesta.;Od takrat se je Akureyri razvil zaradi odličnih pristaniških razmer in morda še bolj zaradi rodovitne pokrajine okoli njega.;4;4;3
Sveto pismo je največkrat prevedena knjiga na svetu.;Sveto pismo je najbolj prevajana knjiga na svetu.;3;4;2
Kraljeva družina se je vrnila iz palače Vila Viçosa v Lizbono.;Kraljeva družina se iz palače Vila Viçosa vrne v Lizbono.;3;5;3
Vera je samozavedanje in samozavest človeka, ki se še ni našel ali pa se je že znova izgubil.;Vera je samozavedanje in samozavest človeka, ki se še ni našel ali pa se je že izgubil.;3;5;3
Glavno mesto je kronsko mesto Oviedo.;Prestolnica je mesto Coronel Oviedo.;5;5;5
"(Presenečeno rečeš: ""Huh?"") ""Ne poznaš me, ime mi je Dorothy, a o tebi vem precej.";"(Začudena izustiva ""A?"") ""Ne poznata me moje ime je Dorothy, jaz pa o vama vem kar precej.";4;5;3
Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal ponovno vzpostaviti svojo vladavino nad temi ozemlji.;Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal ponovno vzpostaviti svojo oblast nad temi ozemlji.;5;5;3
Njuna poroka je razkrila, da Wollstonecraftova ni bila nikoli poročena z Imlayem, zaradi česar sta z Godwinom izgubila veliko prijateljev.;Njuna poroka je razkrila, da Wollstonecraftova ni bila nikoli poročena z Imlayem, zaradi česar sta z Godwinom izgubila številne prijatelje.;4;4;2
Vzhodna in krščanska miselnost pa pojmuje srečo v smeri kvalitete, duhovno, in zato jo isti s smislom življenja.;Vzhodna in krščanska misel pa srečo razume v kakovostnem, duhovnem smislu in jo zato enači s smislom življenja.;4;5;4
Izobraženi grški sužnji so bili v Rimu zelo iskani, zlasti zdravniki in učitelji, izobraženi moški pa so bili pomembno izvozno blago.;Izobraženi grški sužnji so bili v Rimu zelo iskani, še posebej zdravniki in učitelji, in izobraženi moški so predstavljali pomembno izvozno blago.;4;4;3
